Team,HomeMatches,HomeWins,HomeWinRate,HomePointsPerGame,HomeGoalsFor,HomeGoalsAgainst,AwayMatches,AwayWins,AwayWinRate,AwayPointsPerGame,AwayGoalsFor,AwayGoalsAgainst,HomeAdvantage
Athletic Club,120,61,0.5083333333333333,1.775,182,103,118,33,0.2796610169491525,1.2033898305084745,119,132,0.5716101694915254
Celta Vigo,120,45,0.375,1.4166666666666667,162,145,118,26,0.22033898305084745,0.9745762711864406,132,184,0.4420903954802261
Valencia,119,52,0.4369747899159664,1.6302521008403361,169,121,119,20,0.16806722689075632,0.8067226890756303,111,198,0.8235294117647058
Mallorca,100,39,0.39,1.48,108,102,100,17,0.17,0.71,84,172,0.77
Leganés,38,12,0.3157894736842105,1.1842105263157894,40,53,38,5,0.13157894736842105,0.8157894736842105,29,54,0.36842105263157887
Villarreal,119,59,0.4957983193277311,1.7647058823529411,233,146,119,49,0.4117647058823529,1.4621848739495797,166,150,0.3025210084033614
Alavés,100,37,0.37,1.39,102,106,100,15,0.15,0.69,82,178,0.7
Espanol,82,27,0.32926829268292684,1.3048780487804879,100,112,80,12,0.15,0.7125,73,130,0.5923780487804878
Real Betis,119,59,0.4957983193277311,1.7394957983193278,187,133,119,38,0.31932773109243695,1.2857142857142858,139,165,0.45378151260504196
Atletico Madrid,119,86,0.7226890756302521,2.361344537815126,239,95,119,53,0.44537815126050423,1.6302521008403361,170,116,0.73109243697479
Granada,76,28,0.3684210526315789,1.368421052631579,97,102,76,13,0.17105263157894737,0.75,84,148,0.618421052631579
Levante,61,19,0.3114754098360656,1.2950819672131149,87,91,63,14,0.2222222222222222,0.873015873015873,71,113,0.42206609419724184
Osasuna,119,49,0.4117647058823529,1.504201680672269,148,153,119,29,0.24369747899159663,1.0420168067226891,111,162,0.46218487394957974
Real Madrid,119,91,0.7647058823529411,2.4705882352941178,264,84,119,74,0.6218487394957983,2.0756302521008405,215,110,0.39495798319327724
Getafe,118,41,0.3474576271186441,1.3728813559322033,121,112,120,25,0.20833333333333334,0.9166666666666666,103,159,0.45621468926553665
Barcelona,118,87,0.7372881355932204,2.330508474576271,278,102,120,72,0.6,2.0166666666666666,237,127,0.3138418079096046
Sevilla,119,56,0.47058823529411764,1.6722689075630253,166,127,119,42,0.35294117647058826,1.361344537815126,148,149,0.31092436974789917
Real Sociedad,119,57,0.4789915966386555,1.6890756302521008,161,112,119,45,0.37815126050420167,1.3865546218487395,141,145,0.3025210084033614
Eibar,38,10,0.2631578947368421,1.0526315789473684,37,46,38,7,0.18421052631578946,0.8421052631578947,31,62,0.21052631578947367
Valladolid,76,19,0.25,1.0789473684210527,69,102,76,10,0.13157894736842105,0.618421052631579,56,151,0.4605263157894737
Cádiz,76,20,0.2631578947368421,1.1710526315789473,71,96,76,15,0.19736842105263158,0.9078947368421053,56,121,0.26315789473684204
Huesca,19,5,0.2631578947368421,1.1578947368421053,17,21,19,2,0.10526315789473684,0.631578947368421,17,32,0.5263157894736843
Elche,62,18,0.2903225806451613,1.2258064516129032,66,75,62,9,0.14516129032258066,0.6612903225806451,49,109,0.5645161290322581
Rayo Vallecano,80,28,0.35,1.4,99,99,82,21,0.25609756097560976,1.0121951219512195,67,107,0.3878048780487804
Almeria,38,11,0.2894736842105263,1.1578947368421053,51,58,38,3,0.07894736842105263,0.47368421052631576,41,82,0.6842105263157896
Girona,63,33,0.5238095238095238,1.7301587301587302,121,89,61,17,0.2786885245901639,1.1311475409836065,75,94,0.5990111891751237
Las Palmas,38,10,0.2631578947368421,1.0789473684210527,41,49,38,8,0.21052631578947367,0.8157894736842105,32,59,0.26315789473684215
Oviedo,5,1,0.2,0.6,2,10,5,1,0.2,0.8,5,9,-0.20000000000000007
