Team,YoungPlayers,PrimePlayers,ExperiencedPlayers,AvgAge
Athletic Club,57,123,76,26.6640625
Getafe,72,105,55,26.08189655172414
Real Betis,41,107,88,26.88135593220339
Girona,51,104,74,26.733624454148472
Celta Vigo,76,102,61,26.225941422594143
Alavés,33,161,42,26.423728813559322
Las Palmas,50,132,61,27.40740740740741
Sevilla,80,109,46,25.97872340425532
Osasuna,27,115,96,27.19327731092437
Leganés,0,180,55,27.28936170212766
Valencia,78,102,25,24.13170731707317
Barcelona,135,80,36,23.641434262948206
Real Sociedad,72,153,10,24.974468085106384
Rayo Vallecano,0,120,88,28.95673076923077
Mallorca,18,137,100,27.976470588235294
Real Madrid,41,120,62,26.58744394618834
Valladolid,63,130,29,25.41891891891892
Espanyol,48,138,37,25.394618834080717
Villarreal,45,102,72,26.91324200913242
Atlético Madrid,20,129,89,28.1218487394958
